age,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,exam_score,gender_Male,gender_Other,extracurricular_participation_Yes
24,4.5,3.1,0.5,0,100.0,7.7,1.0,3,1,1,10,93.8,0,0,0
17,3.3,2.6,3.7,0,71.0,5.7,0.0,6,0,2,4,61.6,0,0,1
17,1.7,3.4,3.9,1,97.0,6.6,2.0,3,0,1,6,41.7,1,0,0
19,3.2,3.1,2.0,0,86.8,5.6,1.0,5,0,0,9,74.5,0,0,0
22,2.2,1.0,2.9,0,93.4,6.9,2.0,6,0,2,6,63.7,0,0,0
18,2.6,3.5,2.0,0,84.0,6.2,2.0,0,1,1,1,39.6,1,0,0
21,4.4,3.6,0.3,0,76.6,5.4,1.0,2,0,2,5,87.5,0,0,1
20,6.0,1.6,1.3,0,92.5,8.1,1.0,5,1,1,9,100.0,0,0,0
18,4.1,2.5,1.9,1,91.5,7.6,1.0,2,0,2,5,75.4,0,0,0
24,1.7,3.3,1.3,0,94.7,5.8,1.0,6,2,2,6,61.5,1,0,1
22,4.2,2.2,1.6,0,84.9,7.1,1.0,5,0,2,3,73.3,1,0,1
24,5.3,3.8,1.7,0,79.0,7.1,2.0,6,2,1,8,96.3,0,1,0
23,2.6,5.3,1.7,1,69.4,7.3,2.0,5,1,1,10,67.0,0,0,0
20,3.3,1.6,1.9,0,93.2,4.5,2.0,6,2,1,4,70.1,1,0,0
23,3.5,0.8,0.6,0,89.2,7.7,2.0,0,0,2,4,84.2,0,0,0
19,2.3,2.9,1.0,0,75.3,5.8,2.0,2,1,2,5,48.9,0,0,1
24,4.5,3.4,0.4,0,79.6,6.1,1.0,5,0,0,10,98.8,0,0,0
19,3.3,2.2,2.9,1,80.3,9.7,2.0,0,0,0,9,76.1,0,0,0
17,4.1,4.2,0.0,0,70.2,6.9,2.0,1,0,1,8,80.4,1,0,1
23,2.2,0.9,3.1,0,76.8,6.0,1.0,6,0,0,7,64.1,1,0,0
22,2.8,3.3,3.3,0,73.7,3.9,2.0,4,2,1,5,59.4,1,0,1
24,4.6,1.8,1.5,0,80.9,8.2,1.0,5,0,0,9,94.2,0,0,1
21,2.9,4.6,0.0,1,77.6,4.9,2.0,3,1,2,9,67.8,1,0,1
20,6.1,4.9,1.4,0,68.7,5.3,2.0,0,1,2,10,96.1,1,0,0
18,2.9,1.6,1.7,0,100.0,6.1,2.0,0,1,2,10,70.2,1,0,0
22,3.8,1.8,0.7,0,97.5,8.2,1.0,5,1,1,2,84.2,0,0,0
22,4.9,3.5,1.2,0,77.2,7.4,2.0,0,0,2,4,75.4,0,0,0
19,1.4,2.0,3.5,0,87.7,6.3,1.0,1,1,2,8,41.7,1,0,0
23,0.9,2.4,2.5,0,89.2,6.9,1.0,0,0,0,1,23.1,1,0,0
24,1.2,2.5,0.8,1,96.9,5.8,2.0,4,2,2,5,50.3,0,0,0
24,5.4,0.2,0.0,0,76.8,6.7,1.0,4,1,1,8,100.0,1,0,0
17,2.7,2.5,1.4,0,95.9,6.6,2.0,6,2,1,2,52.2,1,0,0
17,7.3,1.7,1.6,0,79.5,7.7,1.0,6,0,1,2,100.0,1,0,1
20,2.7,1.9,2.3,0,71.6,7.7,1.0,3,0,0,8,71.2,1,0,0
19,3.8,4.2,1.2,0,92.2,7.1,2.0,1,0,2,10,72.3,1,0,0
22,5.8,1.0,2.4,0,97.9,6.1,1.0,4,0,1,9,100.0,0,0,0
24,6.5,3.5,3.9,0,100.0,7.4,0.0,5,0,1,7,100.0,1,0,1
21,6.6,2.2,2.7,0,73.0,6.4,2.0,2,1,0,8,100.0,0,0,1
19,5.3,2.2,1.7,0,92.0,5.2,1.0,2,0,2,5,93.1,1,0,0
20,5.0,3.4,1.6,1,80.9,6.0,2.0,2,1,1,1,67.7,0,0,1
20,4.4,2.9,1.4,0,92.8,6.6,1.0,6,2,2,4,77.9,0,0,1
19,4.7,3.2,3.1,1,70.3,7.6,1.0,5,1,2,2,80.3,1,0,0
20,2.7,3.7,1.1,0,72.4,6.3,1.0,0,0,1,3,44.3,0,0,0
19,2.3,2.1,1.8,0,77.2,5.0,1.0,5,0,1,3,54.7,1,0,0
18,3.5,1.8,1.9,0,85.8,6.6,1.0,0,0,2,9,85.0,0,1,0
19,3.2,1.2,1.2,0,78.6,6.6,1.0,2,0,0,10,81.7,1,0,1
23,2.8,1.5,0.3,0,91.6,6.7,1.0,3,1,0,4,71.6,1,0,0
19,4.5,6.0,2.2,1,95.3,7.6,0.0,3,0,2,2,73.7,1,0,1
20,4.9,4.0,1.7,0,91.0,7.7,1.0,0,2,1,3,77.0,0,1,0
24,3.6,0.9,2.4,0,100.0,5.8,0.0,2,1,1,3,72.3,0,0,0
23,5.7,0.9,1.2,0,89.2,5.8,0.0,5,1,1,7,100.0,0,0,0
20,1.8,3.1,3.1,0,72.8,5.3,2.0,3,0,1,8,54.0,1,0,0
17,3.2,3.2,0.8,0,98.6,7.3,2.0,0,0,2,6,70.4,0,0,0
17,2.4,3.2,3.7,0,78.9,8.2,2.0,5,1,2,4,47.0,1,0,1
24,0.7,2.2,0.0,0,94.1,6.1,1.0,2,0,2,6,48.7,0,0,0
24,3.4,2.3,2.3,0,100.0,6.2,2.0,1,0,2,1,47.6,1,0,0
23,3.3,2.9,2.3,1,89.6,8.3,2.0,2,0,1,10,81.1,1,0,0
18,5.8,2.6,0.9,1,70.0,7.1,2.0,6,0,1,8,100.0,1,0,0
24,4.4,0.0,2.3,0,75.8,7.0,1.0,2,1,1,1,81.9,1,0,0
17,2.0,2.2,3.2,0,98.2,5.1,2.0,5,0,1,5,56.3,0,0,0
19,6.3,1.5,0.0,0,83.3,7.3,2.0,5,1,2,2,100.0,1,0,1
20,5.3,2.7,2.4,1,85.8,5.4,2.0,4,0,2,6,81.0,0,0,0
17,4.4,6.1,0.0,0,92.6,5.1,0.0,4,1,1,9,84.9,1,0,1
17,3.2,2.9,0.7,0,92.0,6.1,1.0,5,2,0,5,67.9,0,0,0
18,2.1,2.1,3.6,0,87.8,5.8,1.0,5,2,0,4,56.9,1,0,0
23,2.9,3.6,1.2,0,82.9,6.2,1.0,1,0,1,2,45.9,1,0,0
23,5.1,3.1,0.5,1,81.9,4.8,2.0,1,0,0,3,76.0,0,0,0
22,6.3,3.0,1.6,0,93.6,7.7,0.0,2,0,1,6,94.8,1,0,1
18,5.8,3.2,4.1,0,90.5,7.9,0.0,6,1,2,8,99.3,1,0,0
19,2.8,5.0,0.0,1,82.4,4.2,1.0,3,1,2,8,71.0,0,0,0
23,1.8,1.1,0.6,1,95.8,7.7,0.0,6,1,1,5,70.9,0,0,0
20,3.7,3.1,3.4,1,83.7,5.5,1.0,1,0,1,5,59.8,1,0,1
24,0.8,1.4,3.8,1,76.5,7.5,2.0,2,1,1,10,36.0,1,0,0
18,4.0,3.2,1.7,0,77.4,6.4,1.0,6,0,2,3,68.4,0,0,0
24,3.3,1.4,0.4,0,75.2,6.5,0.0,0,1,2,7,72.9,1,0,1
17,2.8,2.0,4.1,1,82.3,6.3,1.0,4,0,2,6,57.3,1,0,0
20,1.1,2.1,3.6,1,97.3,8.0,1.0,6,1,1,1,50.3,1,0,1
20,4.3,3.7,2.5,0,76.9,5.0,0.0,3,0,2,4,65.7,0,0,0
17,2.7,3.6,0.9,0,86.9,7.2,2.0,2,0,0,6,67.9,0,0,1
18,1.7,1.0,1.7,0,78.4,7.8,2.0,6,1,2,6,63.6,1,0,0
17,0.0,2.6,1.6,0,82.4,7.4,2.0,5,0,1,3,32.9,1,0,0
24,3.5,1.6,2.2,0,69.9,9.3,2.0,0,1,1,6,67.7,1,0,0
22,6.2,1.0,3.4,0,82.8,5.9,0.0,4,1,2,10,100.0,0,0,0
20,6.0,2.2,2.8,1,83.1,7.6,2.0,0,1,1,6,96.8,1,0,0
21,2.8,2.1,0.6,0,90.4,6.4,2.0,2,0,0,9,71.0,1,0,1
21,2.6,5.4,3.3,0,87.2,8.0,2.0,1,0,0,9,59.8,0,0,0
24,4.2,3.0,2.1,0,73.0,6.5,0.0,4,1,0,2,64.2,1,0,0
19,2.0,0.8,2.6,0,95.8,6.0,2.0,0,0,0,4,45.2,0,0,0
23,4.0,1.8,3.4,0,87.1,8.1,2.0,1,1,0,9,82.9,1,0,1
17,4.6,3.7,0.6,0,87.0,5.9,2.0,3,0,1,4,73.2,1,0,1
17,5.3,5.0,1.8,0,84.9,4.8,0.0,2,0,1,8,79.6,1,0,0
19,3.3,0.6,1.2,1,79.8,5.9,2.0,2,0,2,10,73.0,0,0,0
19,3.2,0.2,0.1,1,87.2,7.2,2.0,4,0,1,3,72.6,0,0,0
24,2.2,4.7,2.2,0,89.8,8.2,2.0,0,0,0,3,45.2,0,0,0
24,2.3,3.0,4.6,0,67.5,6.6,1.0,3,1,1,9,51.8,1,0,0
19,3.2,1.5,0.0,0,79.6,8.1,2.0,5,1,2,10,92.0,0,0,0
20,4.1,3.1,1.8,0,82.5,4.9,1.0,4,0,2,8,77.8,1,0,0
24,4.9,0.0,2.5,1,87.6,6.0,1.0,5,2,1,1,97.2,1,0,0
22,2.3,2.5,1.9,1,96.9,6.2,1.0,4,1,2,10,71.9,0,0,1
24,5.7,2.9,1.7,0,77.3,6.4,2.0,0,2,2,2,69.1,1,0,1
17,3.1,3.6,0.4,0,80.0,6.6,0.0,3,1,2,3,59.6,1,0,1
24,3.5,1.3,2.1,0,79.9,7.3,1.0,0,1,2,2,60.4,1,0,0
20,2.4,2.6,1.0,0,77.0,6.0,2.0,2,0,2,3,48.3,1,0,1
19,0.0,1.4,0.0,0,81.5,6.7,2.0,5,0,2,8,50.1,1,0,1
17,4.8,2.8,3.1,0,92.7,6.4,1.0,1,0,2,6,74.9,0,0,0
24,4.6,1.4,2.9,1,74.5,5.4,2.0,6,1,1,7,85.6,1,0,1
20,3.1,2.0,1.9,0,89.3,6.4,2.0,2,0,2,10,65.4,0,0,1
22,3.6,1.3,2.1,0,68.0,6.3,0.0,2,1,2,10,82.4,0,0,1
24,4.3,3.3,3.0,0,79.4,6.3,1.0,5,0,0,6,67.3,1,0,1
20,1.2,3.5,2.0,0,81.7,6.5,0.0,4,1,2,1,34.3,1,0,0
22,2.7,2.2,2.8,0,100.0,6.6,1.0,2,0,1,3,53.0,1,0,0
19,4.7,2.5,1.5,0,82.3,6.0,1.0,6,0,1,1,78.0,0,0,0
24,1.6,0.8,3.2,1,63.0,8.0,2.0,3,0,2,10,58.2,1,0,0
22,3.9,2.1,2.2,0,65.0,5.1,2.0,2,0,1,9,73.7,0,0,0
17,1.5,2.4,2.0,1,85.3,5.6,0.0,3,0,1,9,60.3,1,0,0
19,4.2,5.6,0.4,0,91.1,9.8,0.0,0,1,0,5,78.7,0,0,1
17,3.4,1.2,2.1,1,88.8,5.3,1.0,4,0,1,4,68.3,1,0,1
21,1.1,4.3,0.9,0,86.7,4.9,1.0,3,0,1,9,49.9,1,0,0
18,5.2,3.7,1.1,0,96.6,7.4,1.0,2,1,1,9,100.0,0,0,1
24,2.4,2.8,0.9,0,79.6,4.0,2.0,4,0,1,3,54.7,0,0,1
22,2.3,4.6,0.6,0,93.9,6.2,2.0,6,2,2,5,58.7,1,0,0
18,3.8,2.9,4.1,1,68.7,9.1,1.0,4,2,2,3,70.8,0,0,0
18,5.2,3.0,3.3,0,76.0,4.6,2.0,3,0,0,10,87.1,0,0,1
22,2.0,2.4,3.9,0,66.9,4.1,1.0,3,0,2,2,29.5,0,0,1
19,3.6,4.0,0.5,0,82.3,4.7,2.0,1,0,0,1,53.2,0,0,0
24,4.1,3.8,1.9,1,84.5,7.6,1.0,1,1,0,10,73.0,1,0,0
21,4.5,1.7,0.4,0,86.1,7.8,0.0,4,1,0,2,71.1,1,0,1
17,3.8,0.9,1.0,0,85.6,5.9,2.0,5,1,2,8,80.9,1,0,0
20,2.9,2.3,0.8,1,75.7,7.3,1.0,5,1,2,8,75.1,0,0,0
17,2.3,1.5,3.2,0,83.1,8.2,2.0,1,0,1,3,52.4,0,0,0
20,3.6,2.4,1.4,0,70.0,8.6,1.0,2,1,1,7,67.6,1,0,0
17,1.9,4.0,3.0,0,98.6,6.2,0.0,0,1,1,7,35.7,1,0,1
22,0.0,2.0,2.5,0,82.0,3.7,0.0,4,1,1,2,29.9,0,0,0
21,4.2,2.4,4.3,0,80.1,5.5,1.0,0,2,2,9,70.7,0,1,0
24,4.9,2.6,0.2,0,100.0,6.0,2.0,1,1,1,3,89.3,0,0,1
20,0.0,3.5,3.2,0,72.6,6.2,1.0,3,0,2,2,26.2,1,0,0
24,2.0,0.0,3.1,0,73.7,6.3,2.0,6,0,1,3,58.3,1,0,1
24,4.4,1.8,0.7,0,74.0,7.8,2.0,4,0,2,2,78.4,1,0,1
24,6.6,2.8,2.9,0,84.3,8.0,2.0,1,0,2,8,100.0,0,0,0
23,3.5,3.9,2.2,0,89.3,6.3,1.0,2,2,1,5,66.8,1,0,1
19,2.4,1.9,1.5,0,92.4,7.8,2.0,6,0,2,3,63.8,0,0,0
17,3.2,0.2,0.9,0,100.0,6.9,1.0,4,1,2,5,76.1,1,0,0
24,5.6,3.2,1.0,0,62.5,6.6,1.0,4,1,1,8,82.7,0,0,0
17,2.5,1.7,4.1,0,91.1,7.6,0.0,5,0,1,7,65.0,0,0,0
24,2.3,1.1,1.8,1,79.4,6.6,1.0,3,2,2,6,66.8,0,0,0
20,2.8,1.8,2.7,0,79.1,9.0,0.0,4,2,1,1,64.9,1,0,1
19,2.1,2.3,0.9,0,78.8,4.8,2.0,3,1,0,10,63.1,1,0,0
19,3.7,1.8,0.9,1,75.9,5.9,1.0,1,0,1,1,56.3,1,0,0
22,5.9,0.0,3.0,0,100.0,6.3,1.0,2,0,2,1,93.6,0,0,1
23,4.0,3.6,0.3,0,93.4,7.0,2.0,6,0,2,10,91.9,0,0,1
22,3.1,4.0,1.3,0,85.2,8.0,1.0,6,0,2,8,74.0,0,0,1
22,3.1,3.3,1.8,0,98.5,6.5,1.0,2,1,1,8,62.7,0,0,0
22,1.2,1.1,1.9,0,69.9,4.8,0.0,4,2,0,7,58.6,0,0,0
22,4.8,2.3,1.6,1,71.7,7.5,2.0,4,1,2,6,89.3,1,0,0
22,3.4,2.5,2.2,0,63.2,7.4,0.0,1,2,2,4,63.4,0,0,0
21,3.2,3.2,2.6,1,78.0,4.2,1.0,5,1,0,1,46.7,1,0,0
19,8.3,3.3,2.6,1,86.6,6.5,1.0,5,0,1,9,100.0,1,0,0
22,3.9,1.6,0.7,1,86.0,4.6,2.0,5,2,0,1,68.7,0,0,0
24,2.4,2.6,1.5,0,86.5,5.7,2.0,3,0,2,4,58.9,1,0,0
19,2.9,3.0,3.1,0,70.9,5.4,2.0,5,2,2,3,59.0,1,0,0
19,5.2,4.2,2.8,1,93.0,7.5,0.0,2,0,2,7,77.9,0,0,0
18,3.7,3.3,0.3,1,87.4,6.6,1.0,6,0,2,5,72.3,1,0,0
21,1.3,3.4,2.2,0,92.3,5.0,1.0,6,2,0,5,49.7,0,0,0
22,4.9,2.6,0.0,1,66.1,7.6,0.0,3,1,2,4,80.9,1,0,0
17,2.5,4.2,1.9,1,88.1,4.8,1.0,1,2,2,1,44.5,1,0,0
20,6.3,3.0,3.9,1,73.1,6.9,1.0,2,2,1,5,85.3,1,0,0
23,5.1,1.5,0.8,0,81.0,5.5,1.0,6,0,2,4,83.2,1,0,0
24,2.8,4.2,0.9,0,90.3,6.1,2.0,2,1,1,10,59.7,0,0,0
17,5.4,3.3,2.6,0,85.9,7.1,1.0,6,0,2,8,98.1,1,0,0
21,3.6,2.0,0.1,0,76.5,7.1,2.0,0,1,2,2,66.8,0,0,1
20,4.8,1.9,1.1,0,85.1,8.1,1.0,1,1,2,8,96.1,1,0,1
21,4.2,2.9,2.5,0,69.7,6.4,1.0,1,0,2,1,60.4,0,0,0
24,2.2,3.1,1.1,0,96.5,6.9,1.0,0,1,0,4,33.8,0,0,0
19,2.5,2.7,1.5,0,82.9,6.0,0.0,3,1,1,3,56.1,0,0,0
20,5.0,2.9,2.6,0,96.2,6.7,0.0,6,0,1,5,80.6,1,0,0
19,3.0,4.5,2.3,1,79.7,7.0,1.0,6,1,2,5,52.6,1,0,0
24,2.9,3.8,2.1,0,79.8,6.4,2.0,6,1,2,5,52.1,1,0,1
17,2.1,2.7,1.4,0,77.4,4.3,2.0,5,2,2,4,39.9,0,0,1
24,4.1,3.6,2.2,0,93.8,6.9,0.0,5,0,0,8,84.0,1,0,0
17,6.6,1.3,1.7,0,77.9,6.9,2.0,5,0,2,3,97.7,0,0,1
20,1.9,3.0,2.3,0,91.4,5.7,2.0,5,1,2,4,43.3,0,0,0
20,3.5,4.7,1.3,1,81.2,5.0,2.0,5,0,2,1,55.9,1,0,0
22,5.6,2.2,1.6,0,65.2,8.3,2.0,0,2,0,7,84.6,0,0,0
21,3.4,1.5,0.7,0,79.3,7.1,1.0,1,0,0,1,67.0,1,0,0
22,4.2,1.7,1.8,0,73.2,6.2,1.0,3,1,0,2,76.0,1,0,0
21,1.9,1.2,0.9,0,85.3,5.1,1.0,2,1,2,7,56.9,0,0,1
22,4.1,1.6,0.6,0,73.1,5.5,1.0,5,0,2,1,77.5,0,0,0
19,3.2,2.1,2.1,0,94.3,8.1,1.0,0,0,2,3,69.4,0,0,0
20,5.0,0.8,2.0,0,84.1,6.7,1.0,6,1,1,6,94.6,1,0,1
17,5.3,2.5,2.7,1,83.2,5.8,2.0,3,1,1,6,93.4,1,0,1
21,7.4,3.6,1.3,0,91.6,7.1,2.0,3,0,2,6,100.0,0,0,1
24,4.4,1.4,2.2,0,94.6,5.5,2.0,3,2,2,2,63.6,0,0,1
21,4.0,4.3,2.4,0,84.8,8.3,2.0,0,0,2,2,53.0,0,0,0
17,3.8,3.1,2.3,0,77.3,8.1,2.0,2,0,2,6,67.8,1,0,0
22,3.0,3.7,0.9,0,67.3,5.9,0.0,5,1,1,10,73.9,0,0,0
21,4.0,1.7,2.0,0,78.1,5.7,1.0,3,0,2,5,66.5,1,0,0
23,3.1,3.5,2.2,0,78.8,3.4,1.0,0,2,2,7,49.9,1,0,0
19,3.8,1.2,1.8,0,86.1,4.7,2.0,6,0,1,7,73.9,0,0,0
20,5.5,3.6,0.0,0,81.5,4.9,1.0,1,0,1,5,80.3,1,0,0
17,2.0,2.7,2.0,0,91.9,6.7,2.0,6,0,1,8,71.7,0,0,0
20,5.2,3.2,4.2,1,78.9,6.1,0.0,0,1,0,10,83.3,1,0,0
23,5.5,1.1,1.4,0,84.4,4.9,1.0,0,1,2,6,84.5,1,0,0
21,3.3,1.4,1.0,0,96.8,6.2,2.0,0,1,0,5,74.9,0,0,0
21,0.3,3.2,2.2,0,88.4,7.1,0.0,3,0,1,4,34.0,0,0,1
24,2.6,1.4,2.1,1,84.4,7.1,1.0,0,0,1,7,63.0,0,0,0
23,5.4,3.1,3.1,0,79.0,4.2,1.0,1,1,2,4,77.9,0,0,0
17,3.5,0.9,0.4,0,78.7,6.3,1.0,3,0,1,5,72.9,0,0,1
24,2.0,3.5,2.6,0,76.5,4.8,2.0,6,2,2,5,53.2,0,0,0
19,2.7,1.0,2.4,0,79.6,7.6,1.0,1,0,0,1,57.3,0,0,0
24,4.8,3.2,1.6,0,92.6,7.4,1.0,4,1,0,1,76.6,1,0,1
18,4.3,3.3,2.2,0,82.8,5.4,0.0,6,0,1,3,64.6,0,0,0
17,3.1,1.7,2.9,1,71.5,5.6,2.0,0,1,1,3,51.1,1,0,1
18,2.9,3.2,2.8,0,100.0,5.9,1.0,5,0,1,2,63.0,0,1,0
23,2.9,2.8,0.5,0,88.2,3.8,2.0,5,0,0,2,61.6,0,0,1
22,2.1,1.9,2.7,1,70.9,6.9,2.0,3,0,2,6,62.5,1,0,0
18,5.9,1.3,1.7,0,80.6,6.2,1.0,5,0,2,1,87.1,0,0,1
19,3.0,0.1,1.9,0,86.1,7.7,2.0,6,0,0,6,82.5,0,0,1
24,5.3,2.9,1.9,0,100.0,5.2,2.0,3,1,0,5,80.9,1,0,1
22,5.8,0.6,1.6,0,73.9,5.8,1.0,6,1,2,6,100.0,0,0,0
24,5.0,2.6,3.1,0,94.8,4.7,0.0,0,1,2,5,79.6,0,0,0
18,2.9,2.2,1.7,1,99.0,5.3,2.0,2,1,1,7,71.2,1,0,0
24,4.1,3.3,0.6,1,78.7,5.1,2.0,2,1,2,1,62.7,0,0,0
23,3.5,2.1,1.4,0,82.2,7.7,1.0,1,0,2,3,64.2,1,0,0
22,2.1,2.1,2.0,0,74.6,5.7,1.0,0,0,2,6,44.1,0,0,1
23,4.0,3.4,3.2,0,83.0,6.6,2.0,5,0,1,1,61.7,0,1,0
18,1.7,2.9,2.5,0,84.6,6.0,2.0,0,1,1,7,39.9,0,0,1
23,5.3,2.9,0.9,0,91.6,5.0,2.0,4,0,0,4,84.1,1,0,0
19,2.8,3.1,4.5,0,95.9,6.3,1.0,2,0,2,3,40.7,0,0,0
18,3.8,0.7,2.1,0,77.5,7.2,2.0,5,1,2,10,81.8,0,0,0
18,3.9,3.4,3.2,0,65.3,5.1,1.0,6,0,1,9,77.0,1,0,1
18,3.1,3.2,1.6,0,84.8,7.5,1.0,6,2,2,1,65.7,0,0,0
17,4.4,1.3,2.4,0,87.9,5.5,2.0,2,2,2,8,80.9,1,0,1
24,2.8,2.2,2.7,0,87.5,5.9,2.0,0,0,2,1,47.4,0,0,1
17,4.8,2.5,3.1,1,81.7,7.1,1.0,5,0,2,5,83.0,1,0,1
17,1.5,2.3,3.0,0,86.2,5.7,1.0,1,0,2,10,54.2,1,0,0
19,3.7,2.9,2.8,0,100.0,6.5,2.0,6,1,1,8,82.5,1,0,0
22,6.4,4.2,1.5,1,88.8,6.1,1.0,0,0,2,6,85.0,0,0,0
24,2.0,3.8,1.2,0,81.3,6.7,2.0,1,1,2,7,40.4,1,0,1
23,2.5,0.9,2.2,1,80.0,3.6,2.0,5,1,1,8,58.9,0,0,0
21,4.3,3.2,2.8,0,83.3,4.3,0.0,2,0,0,6,67.5,1,0,0
18,3.8,4.1,1.6,0,100.0,7.2,2.0,4,0,2,6,81.0,1,0,1
23,4.0,3.0,3.0,0,83.2,7.7,2.0,3,1,1,6,74.7,0,0,1
18,4.2,3.8,3.4,1,84.8,5.4,2.0,2,0,2,5,67.4,0,0,0
19,4.5,4.9,0.8,0,80.2,6.2,2.0,1,1,0,8,72.2,1,0,0
18,5.2,3.7,0.9,0,96.0,6.9,2.0,0,0,0,2,77.1,0,0,0
17,4.1,2.8,1.6,0,100.0,7.3,0.0,6,1,1,7,87.9,0,0,0
24,3.1,3.8,2.1,0,89.5,4.1,1.0,5,2,1,4,54.1,0,0,1
21,4.5,2.7,1.2,1,85.8,5.4,2.0,2,2,2,1,62.9,1,0,1
20,6.3,2.5,3.3,0,85.4,6.1,1.0,6,0,2,5,95.6,1,0,0
18,3.3,2.1,2.3,0,61.2,7.3,0.0,6,0,0,3,67.1,0,0,0
23,2.0,4.4,1.8,0,92.5,9.5,2.0,4,1,1,4,51.5,1,0,0
17,5.2,1.5,0.2,1,86.3,6.2,2.0,5,0,1,7,97.9,0,0,0
20,3.3,4.3,0.4,1,89.3,4.8,0.0,1,0,1,5,67.0,0,0,0
21,0.2,3.1,2.1,1,77.9,7.0,2.0,5,2,2,4,31.5,0,0,1
20,4.8,0.8,0.0,0,81.2,8.1,2.0,5,0,1,1,88.0,0,0,0
17,2.7,2.9,2.9,0,80.9,6.6,1.0,0,0,0,6,53.4,0,1,0
24,3.4,0.0,1.6,0,95.2,5.4,2.0,3,0,1,10,83.4,1,0,1
24,4.0,3.3,5.4,0,81.2,7.6,1.0,6,1,0,6,79.0,0,0,0
22,3.8,3.6,4.3,0,100.0,7.3,0.0,1,1,0,7,69.9,1,0,1
24,4.6,1.8,1.6,0,89.3,5.3,1.0,0,0,1,1,60.1,1,0,1
22,2.8,2.6,1.7,0,72.2,7.0,1.0,6,0,2,4,70.3,0,0,0
20,4.3,4.8,2.9,1,83.7,7.7,1.0,3,0,2,9,79.8,0,0,0
19,3.1,1.9,3.7,0,78.5,7.9,2.0,0,1,2,10,66.6,0,1,1
23,4.6,1.2,0.0,0,63.1,6.4,2.0,3,0,1,6,91.7,0,0,0
23,4.4,4.3,0.0,1,100.0,6.1,1.0,3,2,1,2,70.1,1,0,0
20,2.1,4.9,1.1,0,92.0,8.0,2.0,3,0,1,4,61.5,1,0,0
18,5.1,2.5,2.4,0,90.3,5.0,0.0,0,2,2,6,79.3,0,0,0
18,2.7,3.7,2.3,0,86.7,7.0,0.0,5,0,2,4,63.9,1,0,1
24,4.7,4.1,3.0,0,71.2,4.9,2.0,3,1,0,10,93.1,1,0,1
23,4.1,1.6,0.5,0,80.2,7.8,0.0,5,0,0,7,89.8,1,0,1
23,6.3,1.9,0.0,0,93.4,6.2,1.0,6,0,2,3,100.0,1,0,1
22,3.2,4.0,2.7,0,74.5,8.0,2.0,6,2,2,6,61.8,1,0,1
19,3.0,4.5,0.9,0,59.7,7.1,1.0,1,2,2,4,51.5,1,0,1
17,3.5,3.2,0.0,0,82.7,5.0,2.0,4,0,2,3,60.4,1,0,0
18,3.0,1.4,2.0,0,83.6,8.2,1.0,5,1,2,3,67.2,1,0,0
23,4.7,4.9,2.7,0,86.4,8.4,0.0,6,1,1,2,89.6,0,1,0
22,1.1,1.9,1.7,0,92.3,7.6,1.0,4,2,2,3,48.3,1,0,1
21,1.9,2.1,1.3,0,91.4,5.6,1.0,3,0,2,10,61.7,1,0,0
22,1.9,2.9,1.6,1,87.6,6.1,1.0,4,1,2,1,44.4,0,0,1
18,4.9,4.4,1.4,1,97.0,6.7,1.0,4,0,1,3,77.2,1,0,0
18,6.1,3.5,0.3,1,69.8,5.7,2.0,3,0,1,9,100.0,0,0,1
22,3.3,3.0,1.0,0,90.0,8.5,2.0,5,2,1,4,73.0,0,0,0
17,3.2,3.1,2.4,0,91.3,6.7,1.0,3,0,1,3,68.5,1,0,0
20,3.6,2.6,2.2,0,72.6,3.3,1.0,1,0,2,8,61.0,1,0,0
18,5.2,3.2,2.0,0,70.0,6.9,1.0,2,1,0,1,70.5,0,0,1
22,2.1,0.0,0.7,0,77.5,6.1,2.0,0,1,1,5,52.5,0,0,0
23,3.9,2.1,1.6,0,78.4,6.4,2.0,3,0,2,1,62.8,1,0,0
22,5.0,2.8,0.0,1,92.5,6.1,1.0,3,0,0,7,83.5,0,0,1
19,4.3,1.1,2.0,0,78.9,7.5,2.0,4,2,1,5,71.4,1,0,0
20,3.8,3.0,3.4,0,76.4,7.8,1.0,1,0,1,2,61.5,0,1,0
21,5.0,2.3,0.2,0,78.9,6.8,0.0,6,1,2,1,75.4,1,0,0
17,0.0,4.6,1.2,0,96.2,6.1,0.0,6,1,1,7,42.0,0,0,0
24,4.5,4.4,2.2,0,85.1,6.5,1.0,4,0,2,1,64.0,0,0,0
21,2.5,1.9,3.2,1,83.2,6.5,1.0,5,2,1,3,60.1,0,0,0
20,0.8,2.3,1.3,1,83.9,5.5,0.0,3,1,2,6,34.7,0,0,0
20,4.3,2.4,1.0,1,97.9,7.2,2.0,3,0,1,6,88.0,1,0,0
20,5.6,2.0,0.0,0,77.5,7.1,1.0,4,1,1,7,100.0,1,0,0
21,3.3,2.7,1.9,0,98.2,8.3,1.0,3,1,0,1,66.1,1,0,0
23,4.9,1.6,4.0,0,87.1,8.0,1.0,5,1,0,7,95.5,1,0,0
20,5.9,1.1,2.1,1,83.4,5.7,0.0,2,2,1,2,86.4,0,0,1
22,5.5,3.2,1.8,0,100.0,7.5,1.0,0,0,0,6,77.3,1,0,0
